from_group,from_arti,整体包名,to_group,to_arti,被依赖的整体包名
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.spec.javax.transaction,jboss-transaction-api_1.1_spec,org.jboss.spec.javax.transaction.jboss-transaction-api_1.1_spec
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.slf4j,slf4j-api,org.slf4j.slf4j-api
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,junit,junit,junit.junit
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,com.h2database,h2,com.h2database.h2
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.slf4j,jcl-over-slf4j,org.slf4j.jcl-over-slf4j
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.shrinkwrap,shrinkwrap-impl-base,org.jboss.shrinkwrap.shrinkwrap-impl-base
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.slf4j,slf4j-log4j12,org.slf4j.slf4j-log4j12
com.sun.jdmk,jmxtools,com.sun.jdmk.jmxtools,,,
org.parboiled,parboiled-core,org.parboiled.parboiled-core,org.scalatest,scalatest_2.9.3,org.scalatest.scalatest_2.9.3
org.parboiled,parboiled-core,org.parboiled.parboiled-core,org.testng,testng,org.testng.testng
org.springframework,spring-asm,org.springframework.spring-asm,,,
org.apache.rocketmq,rocketmq-all,org.apache.rocketmq.rocketmq-all,org.apache.rocketmq,rocketmq-remoting,${project.groupId}.rocketmq-remoting
org.springframework.boot,spring-boot-tools,org.springframework.boot.spring-boot-tools,io.spring.gradle,dependency-management-plugin,io.spring.gradle.dependency-management-plugin
org.springframework.boot,spring-boot-tools,org.springframework.boot.spring-boot-tools,org.gradle,gradle-core,org.gradle.gradle-core
org.springframework.boot,spring-boot-tools,org.springframework.boot.spring-boot-tools,org.gradle,gradle-plugins,org.gradle.gradle-plugins
org.springframework.boot,spring-boot-tools,org.springframework.boot.spring-boot-tools,org.gradle,gradle-base-services,org.gradle.gradle-base-services
org.springframework.boot,spring-boot-tools,org.springframework.boot.spring-boot-tools,org.codehaus.groovy,groovy,org.codehaus.groovy.groovy
org.springframework.cloud,spring-cloud-stream-parent,org.springframework.cloud.spring-cloud-stream-parent,io.projectreactor,reactor-bom,io.projectreactor.reactor-bom
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-ext-os,com.alipay.sofa.lookout.lookout-ext-os
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-client,com.alipay.sofa.lookout.lookout-client
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-ext-jvm,com.alipay.sofa.lookout.lookout-ext-jvm
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,commons-lang,commons-lang,commons-lang.commons-lang
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alibaba,fastjson,com.alibaba.fastjson
